text,humor
A Lie Begets A Lie,True
A Light Purse Is A Heavy Curse,True
A Little Body Often Harbours A Great Soul,True
A Little Fire Is Quickly Trodden Out,True
A Man Can Die But Once,True
A Man Can Do No More Than He Can,True
A Man Is Known By The Company He Keeps,True
A Man Of Words And Not Of Deeds Is Like A Garden Full Of Weeds,True
A Miserly Father Makes A Prodigal Son,True
A Miss Is As Good As A Mile,True
A New Broom Sweeps Clean,True
A Nod From A Lord Is A Breakfast For A Fool,True
A Penny Saved Is A Penny Gained,True
A Penny Soul Never Came To Twopence,True
A Quiet Conscience Sleeps In Thunder,True
A Rolling Stone Gathers No Moss,True
A Round Peg In A Square Hole,True
A Shy Cat Makes A Proud Mouse,True
A Silent Fool Is Counted Wise,True
A Small Leak Will Sink A Great Ship,True
A Soft Answer Turns Away Wrath,True
A Sound Mind In A Sound Body,True
A Stitch In Time Saves Nine,True
A Storm In A Teacup,True
A Tattler Is Worse Than A Thief,True
A Thief Knows A Thief As A Wolf Knows A Wolf,True
A Thief Passes For A Gentleman When Stealing Has Made Him Rich,True
A Threatened Blow Is Seldom Given,True
A Tree Is Known By Its Fruit,True
A Wager Is A Fool's Argument,True
A Watched Pot Never Boils,True
"A Wise Man Changes His Mind, A Fool Never Will",True
A Wolf In Sheep's Clothing,True
A Wonder Lasts But Nine Days,True
A Word Is Enough To The Wise,True
A Word Spoken Is Past Recalling,True
Actions Speak Louder Than Words,True
Adversity Is A Great Schoolmaster,True
Adversity Makes Strange Bedfellows,True
After A Storm Comes A Calm,True
After Dinner Comes The Reckoning,True
"After Dinner Sit (Sleep) A While, After Supper Walk A Mile",True
After Rain Comes Fair Weather,True
After Us The Deluge,True
"Agues Come On Horseback, But Go Away On Foot",True
"All Are Good Lasses, But Whence Come The Bad Wives? ",True
All Are Not Friends That Speak Us Fair,True
All Are Not Hunters That Blow The Horn,True
All Are Not Merry That Dance Lightly,True
All Are Not Saints That Go To Church,True
All Asses Wag Their Ears,True
All Bread Is Not Baked In One Oven,True
All Cats Are Grey In The Dark (In The Night),True
"All Covet, All Lose",True
All Doors Open To Courtesy,True
All Is Fish That Comes To His Net,True
All Is Not Lost That Is In Peril,True
All Is Well That Ends Well,True
All Lay Load On The Willing Horse,True
All Men Can't Be First,True
All Men Can't Be Masters,True
All Promises Are Either Broken Or Kept,True
All Roads Lead To Rome ,True
All Sugar And Honey,True
All That Glitters Is Not Gold,True
All Things Are Difficult Before They Are Easy,True
All Truths Are Not To Be Told,True
All Work And No Play Makes Jack A Dull Boy,True
"""Almost"" Never Killed A Fly (Was Never Hanged)",True
Among The Blind The One-Eyed Man Is King,True
An Apple A Day Keeps The Doctor Away,True
An Ass In A Lion's Skin,True
"An Ass Is But An Ass, Though Laden With Gold",True
An Ass Loaded With Gold Climbs To The Top Of The Castle,True
An Empty Hand Is No Lure For A Hawk,True
An Empty Sack Cannot Stand Upright,True
An Empty Vessel Gives A Greater Sound Than A Full Barrel,True
An Evil Chance Seldom Comes Alone,True
"An Honest Tale Speeds Best, Being Plainly Told",True
An Hour In The Morning Is Worth Two In The Evening,True
An Idle Brain Is The Devil's Workshop,True
"An Ill Wound Is Cured, Not An Ill Name",True
An Oak Is Not Felled At One Stroke,True
An Old Dog Barks Not In Vain,True
An Open Door May Tempt A Saint,True
An Ounce Of Discretion Is Worth A Pound Of Learning,True
"An Ox Is Taken By The Horns, And A Man By The Tongue",True
An Unfortunate Man Would Be Drowned In A Teacup,True
Anger And Haste Hinder Good Counsel,True
Any Port In A Storm,True
Appearances Are Deceitful,True
Appetite Comes With Eating,True
As Drunk As A Lord,True
As Innocent As A Babe Unborn,True
As Like As An Apple To An Oyster,True
As Like As Two Peas,True
As Old As The Hills,True
As Plain As The Nose On A Man's Face,True
As Plain As Two And Two Make Four,True
As Snug As A Bug In A Rug ,True
As Sure As Eggs Is Eggs,True
"As The Call, So The Echo",True
"As The Fool Thinks, So The Bell Clinks",True
"As The Old Cock Crows, So Does The Young",True
"As The Tree Falls, So Shall It Lie",True
"As The Tree, So The Fruit",True
As Welcome As Flowers In May,True
As Welcome As Water In One's Shoes,True
As Well Be Hanged For A Sheep As For A Lamb,True
"As You Brew, So Must You Drink",True
"As You Make Your Bed, So Must You Lie On It",True
"As You Sow, So Shall You Reap",True
Ask No Questions And You Will Be Told No Lies,True
At The Ends Of The Earth,True
Bacchus Has Drowned More Men Than Neptune ,True
Bad News Has Wings,True
Barking Does Seldom Bite,True
Be Slow To Promise And Quick To Perform,True
"Be Swift To Hear, Slow To Speak",True
Beauty Is But Skin-Deep,True
Beauty Lies In Lover's Eyes,True
Before One Can Say Jack Robinson,True
Before You Make A Friend Eat A Bushel Of Salt With Him,True
Beggars Cannot Be Choosers,True
Believe Not All That You See Nor Half What You Hear,True
Best Defence Is Offence,True
Better A Glorious Death Than A Shameful Life,True
Better A Lean Peace Than A Fat Victory,True
"Better A Little Fire To Warm Us, Than A Great One To Burn Us",True
Better An Egg Today Than A Hen Tomorrow,True
Better An Open Enemy Than A False Friend,True
Better Be Alone Than In Bad Company,True
Better Be Born Lucky Than Rich,True
Better Be Envied Than Pitied,True
Better Be The Head Of A Dog Than The Tail Of A Lion,True
Better Deny At Once Than Promise Long,True
Better Die Standing Than Live Kneeling,True
Better Early Than Late,True
Better Give A Shilling Than Lend A Half-Crown,True
Better Go To Bed Supperless Than Rise In Debt,True
Better Late Than Never,True
Better Lose A Jest Than A Friend,True
Better One-Eyed Than Stone-Blind,True
Better The Devil You Know Than The Devil You Don't,True
Better The Foot Slip Than The Tongue,True
Better To Do Well Than To Say Well,True
"Better To Reign In Hell, Than Serve In Heaven",True
Better Unborn Than Untaught,True
Better Untaught Than Ill-Taught,True
Between The Cup And The Lip A Morsel May Slip,True
Between The Devil And The Deep (Blue) Sea,True
Between Two Evils 'Tis Not Worth Choosing,True
Between Two Stools One Goes (Falls) To The Ground,True
Between The Upper And Nether Millstone,True
Betwixt And Between,True
Beware Of A Silent Dog And Still Water,True
Bind The Sack Before It Be Full,True
Birds Of A Feather Flock Together,True
Blind Men Can Judge No Colours,True
Blood Is Thicker Than Water,True
Borrowed Garments Never Fit Well,True
Brevity Is The Soul Of Wit,True
Burn Not Your House To Rid It Of The Mouse,True
Business Before Pleasure,True
By Doing Nothing We Learn To Do Ill,True
By Hook Or By Crook,True
By The Street Of 'By-And-Bye' One Arrives At The House Of 'Never',True
Calamity Is Man's True Touchstone,True
Care Killed The Cat,True
Catch The Bear Before You Sell His Skin,True
Caution Is The Parent Of Safety,True
Charity Begins At Home,True
Cheapest Is The Dearest,True
Cheek Brings Success,True
Children And Fools Must Not Play With Edged Tools,True
Children Are Poor Men's Riches,True
Choose An Author As You Choose A Friend,True
"Christmas Comes But Once A Year, (But When It Comes It Brings Good Cheer)",True
Circumstances Alter Cases,True
"Claw Me, And I Will Claw Thee",True
Cleanliness Is Next To Godliness,True
Company In Distress Makes Trouble Less,True
Confession Is The First Step To Repentance,True
Counsel Is No Command,True
Creditors Have Better Memories Than Debtors,True
Cross The Stream Where It Is Shallowest,True
Crows Do Not Pick Crow's Eyes,True
Curiosity Killed A Cat,True
Curses Like Chickens Come Home To Roost,True
Custom Is A Second Nature,True
Custom Is The Plague Of Wise Men And The Idol Of Fools,True
Cut Your Coat According To Your Cloth,True
Death Is The Grand Leveller,True
Death Pays All Debts,True
Death When It Comes Will Have No Denial,True
Debt Is The Worst Poverty,True
"Deeds, Not Words",True
Delays Are Dangerous,True
Desperate Diseases Must Have Desperate Remedies,True
Diligence Is The Mother Of Success (Good Luck),True
Diseases Are The Interests Of Pleasures,True
Divide And Rule,True
Do As You Would Be Done By,True
Dog Does Not Eat Dog,True
Dog Eats Dog,True
Dogs That Put Up Many Hares Kill None,True
Doing Is Better Than Saying,True
Don't Count Your Chickens Before They Are Hatched,True
Don't Cross The Bridges Before You Come To Them,True
Don't Have Thy Cloak To Make When It Begins To Rain,True
Don't Keep A Dog And Bark Yourself,True
Don't Look A Gift Horse In The Mouth,True
Don't Put All Your Eggs In One Basket,True
Don't Sell The Bear's Skin Before You've Caught It,True
Don't Trouble Trouble Until Trouble Troubles You,True
Don't Whistle (Halloo) Until You Are Out Of The Wood,True
Dot Your I's And Cross Your T's,True
Draw Not Your Bow Till Your Arrow Is Fixed,True
Drive The Nail That Will Go,True
Drunken Days Have All Their Tomorrow,True
Drunkenness Reveals What Soberness Conceals,True
Dumb Dogs Are Dangerous,True
Each Bird Loves To Hear Himself Sing,True
"Early To Bed And Early To Rise Makes A Man Healthy, Wealthy And Wise",True
Easier Said Than Done,True
East Or West ? Home Is Best,True
"Easy Come, Easy Go",True
"Eat At Pleasure, Drink With Measure",True
Empty Vessels Make The Greatest (The Most) Sound,True
Enough Is As Good As A Feast,True
Envy Shoots At Others And Wounds Herself,True
Even Reckoning Makes Long Friends,True
Every Ass Loves To Hear Himself Bray,True
Every Barber Knows That,True
Every Bean Has Its Black,True
Every Bird Likes Its Own Nest,True
Every Bullet Has Its Billet,True
Every Country Has Its Customs,True
Every Dark Cloud Has A Silver Lining,True
Every Day Is Not Sunday,True
Every Dog Has His Day,True
Every Dog Is A Lion At Home,True
Every Dog Is Valiant At His Own Door,True
Every Jack Has His Jill,True
Every Man Has A Fool In His Sleeve,True
Every Man Has His Faults,True
Every Man Has His Hobby-Horse,True
Every Man Is The Architect Of His Own Fortunes,True
Every Man To His Taste,True
Every Miller Draws Water To His Own Mill,True
Every Mother Thinks Her Own Gosling A Swan,True
Every One's Faults Are Not Written In Their Foreheads,True
Every Tub Must Stand On Its Own Bottom,True
"Every White Has Its Black, And Every Sweet Its Sour",True
Every Why Has A Wherefore,True
Everybody's Business Is Nobody's Business,True
Everything Comes To Him Who Waits,True
Everything Is Good In Its Season,True
Evil Communications Corrupt Good Manners,True
Experience Is The Mother Of Wisdom,True
"Experience Keeps A Dear School, But Fools Learn In No Other",True
"Experience Keeps No School, She Teaches Her Pupils Singly",True
Extremes Meet,True
Facts Are Stubborn Things,True
Faint Heart Never Won Fair Lady,True
"Fair Without, Foul (False) Within",True
Fair Words Break No Bones,True
False Friends Are Worse Than Open Enemies,True
Familiarity Breeds Contempt,True
"Far From Eye, Far From Heart",True
Fasting Comes After Feasting,True
Faults Are Thick Where Love Is Thin,True
Feast Today And Fast Tomorrow,True
Fine Feathers Make Fine Birds,True
Fine Words Butter No Parsnips,True
First Catch Your Hare,True
"First Come, First Served",True
First Deserve And Then Desire,True
"First Think, Then Speak",True
Fish And Company Stink In Three Days,True
Fish Begins To Stink At The Head,True
Follow The River And You'll Get To The Sea,True
Fool's Haste Is No Speed,True
Fools And Madmen Speak The Truth,True
Fools Grow Without Watering,True
Fools May Sometimes Speak To The Purpose,True
Fools Never Know When They Are Well,True
Fools Rush In Where Angels Fear To Tread,True
For The Love Of The Game,True
Forbearance Is No Acquittance,True
Forbidden Fruit Is Sweet,True
Forewarned Is Forearmed,True
Fortune Favours The Brave (The Bold),True
"Fortune Is Easily Found, But Hard To Be Kept",True
Four Eyes See More (Better) Than Two,True
Friends Are Thieves Of Time,True
From Bad To Worse,True
From Pillar To Post,True
Gentility Without Ability Is Worse Than Plain Beggary,True
"Get A Name To Rise Early, And You May Lie All Day",True
Gifts From Enemies Are Dangerous,True
"Give A Fool Rope Enough, And He Will Hang Himself",True
"Give Every Man Thy Ear, But Few Thy Voice",True
Give Him An Inch And He'll Take An Ell,True
Give Never The Wolf The Wether To Keep,True
Gluttony Kills More Men Than The Sword,True
Go To Bed With The Lamb And Rise With The Lark,True
Good Clothes Open All Doors,True
Good Counsel Does No Harm,True
Good Health Is Above Wealth,True
Good Masters Make Good Servants,True
Good Words And No Deeds,True
Good Words Without Deeds Are Rushes And Reeds,True
Gossiping And Lying Go Hand In Hand,True
"Grasp All, Lose All",True
Great Barkers Are No Biters,True
"Great Boast, Small Roast",True
Great Cry And Little Wool,True
Great Spenders Are Bad Lenders,True
Great Talkers Are Great Liars,True
Great Talkers Are Little Doers,True
Greedy Folk Have Long Arms,True
Habit Cures Habit,True
Half A Loaf Is Better Than No Bread,True
"""Hamlet"" Without The Prince Of Denmark ",True
Handsome Is That Handsome Does,True
Happiness Takes No Account Of Time,True
Happy Is He That Is Happy In His Children,True
Hard Words Break No Bones,True
Hares May Pull Dead Lions By The Beard,True
"Harm Watch, Harm Catch",True
Haste Makes Waste,True
Hasty Climbers Have Sudden Falls,True
Hate Not At The First Harm,True
"Hatred Is Blind, As Well As Love",True
Hawks Will Not Pick Hawks' Eyes,True
He Begins To Die That Quits His Desires,True
He Cannot Speak Well That Cannot Hold His Tongue,True
He Carries Fire In One Hand And Water In The Other,True
He Dances Well To Whom Fortune Pipes,True
He Gives Twice Who Gives In A Trice,True
He Goes Long Barefoot That Waits For Dead Man's Shoes,True
He Is A Fool That Forgets Himself,True
He Is A Good Friend That Speaks Well Of Us Behind Our Backs,True
He Is Happy That Thinks Himself So,True
He Is Lifeless That Is Faultless,True
He Is Not Fit To Command Others That Cannot Command Himself,True
He Is Not Laughed At That Laughs At Himself First,True
"He Is Not Poor That Has Little, But He That Desires Much",True
He Jests At Scars That Never Felt A Wound,True
He Knows Best What Good Is That Has Endured Evil,True
He Knows How Many Beans Make Five,True
He Knows Much Who Knows How To Hold His Tongue,True
He Laughs Best Who Laughs Last,True
He Lives Long That Lives Well,True
He Must Needs Swim That Is Held Up By The Chin,True
He Should Have A Long Spoon That Sups With The Devil,True
He Smells Best That Smells Of Nothing,True
He That Comes First To The Hill May Sit Where He Will,True
He That Commits A Fault Thinks Everyone Speaks Of It,True
He That Does You An I!I Turn Will Never Forgive You,True
He That Fears Every Bush Must Never Go A-Birding,True
He That Fears You Present Wiil Hate You Absent,True
"He That Goes A Borrowing, Goes A Sorrowing",True
He That Goes Barefoot Must Not Plant Thorns,True
He That Has A Full Purse Never Wanted A Friend,True
He That Has A Great Nose Thinks Everybody Is Speaking Of It,True
He That Has An Ill Name Is Half Hanged,True
He That Has No Children Knows Not What Love Is,True
He That Has He Head Needs No Hat,True
He That Has No Money Needs No Purse,True
He That Is Born To Be Hanged Shall Never Be Drowned,True
He That Is Full Of Himself Is Very Empty,True
He That Is Ill To Himself Will Be Good To Nobody,True
He That Is Warm Thinks All So,True
He That Knows Nothing Doubts Nothing,True
He That Lies Down With Dogs Must Rise Up With Fleas,True
He That Lives With Cripples Learns To Limp,True
"He That Mischief Hatches, Mischief Catches",True
He That Never Climbed Never Fell,True
He That Once Deceives Is Ever Suspected,True
He That Promises Too Much Means Nothing,True
He That Respects Not Is Not Respected,True
He That Seeks Trouble Never Misses,True
He That Serves Everybody Is Paid By Nobody,True
He That Serves God For Money Will Serve The Devil For Better Wages,True
He That Spares The Bad Injures The Good,True
He That Talks Much Errs Much,True
He That Talks Much Lies Much,True
He That Will Eat The Kernel Must Crack The Nut,True
"He That Will Not When He May, When He Will He Shall Have Nay",True
He That Will Steal An Egg Will Steal An Ox,True
"He That Will Thrive, Must Rise At Five",True
He That Would Eat The Fruit Must Climb The Tree,True
He That Would Have Eggs Must Endure The Cackling Of Hens,True
He Who Is Born A Fool Is Never Cured,True
He Who Hesitates Is Lost,True
He Who Likes Borrowing Dislikes Paying,True
"He Who Makes No Mistakes, Makes Nothing",True
He Who Pleased Everybody Died Before He Was Born,True
"He Who Says What He Likes, Shall Hear What He Doesn't Like",True
He Who Would Catch Fish Must Not Mind Getting Wet,True
He Who Would Eat The Nut Must First Crack The Shell,True
He Who Would Search For Pearls Must Dive Below,True
He Will Never Set The Thames On Fire,True
He Works Best Who Knows His Trade,True
Head Cook And Bottle-Washer,True
Health Is Not Valued Till Sickness Comes,True
His Money Burns A Hole In His Pocket,True
Honesty Is The Best Policy,True
Honey Is Not For The Ass's Mouth,True
"Honey Is Sweet, But The Bee Stings",True
Honour And Profit Lie Not In One Sack,True
Honours Change Manners,True
"Hope Is A Good Breakfast, But A Bad Supper",True
Hope Is The Poor Man's Bread,True
Hunger Breaks Stone Walls,True
Hunger Finds No Fault With Cookery,True
Hunger Is The Best Sauce,True
Hungry Bellies Have No Ears,True
Idle Folks Lack No Excuses,True
Idleness Is The Mother Of All Evil,True
Idleness Rusts The Mind,True
"If An Ass (Donkey) Bray At You, Don't Bray At Him",True
If Ifs And Ans Were Pots And Pans..,True
"If My Aunt Had Been A Man, She'd Have Been My Uncle",True
"If The Blind Lead The Blind, Both Shall Fall Into The Ditch",True
"If The Sky Falls, We Shall Catch Larks",True
"If There Were No Clouds, We Should Not Enjoy The Sun",True
If Things Were To Be Done Twice All Would Be Wise,True
"If We Can't As We Would, We Must Do As We Can",True
"If Wishes Were Horses, Beggars Might Ride",True
"If You Agree To Carry The Calf, They'll Make You Carry The Cow",True
"If You Cannot Bite, Never Show Your Teeth",True
"If You Cannot Have The Best, Make The Best Of What You Have",True
If You Dance You Must Pay The Fiddler,True
If You Laugh Before Breakfast You'll Cry Before Supper,True
"If You Run After Two Hares, You Will Catch Neither",True
"If You Sell The Cow, You Sell Her Milk Too",True
"If You Throw Mud Enough, Some Of It Will Stick",True
If You Try To Please All You Will Please None,True
"If You Want A Thing Well Done, Do It Yourself",True
Ill-Gotten Gains Never Prosper,True
"Ill-Gotten, Ill-Spent",True
In Every Beginning Think Of The End,True
"In For A Penny, In For A Pound",True
In The Country Of The Blind One-Eyed Man Is A King,True
In The End Things Will Mend,True
In The Evening One May Praise The Day,True
Iron Hand (Fist) In A Velvet Glove,True
It Is A Good Horse That Never Stumbles,True
It Is A Long Lane That Has No Turning,True
It Is A Poor Mouse That Has Only One Hole,True
It Is An Ill Bird That Fouls Its Own Nest,True
It Is An Ill Wind That Blows Nobody Good,True
"It Is A Silly Fish, That Is Caught Twice With The Same Bait",True
It Is Easy To Swim If Another Hoids Up Your Chin (Head),True
It Is Enough To Make A Cat Laugh,True
It Is Good Fishing In Troubled Waters,True
It Is Never Too Late To Learn,True
It Is No Use Crying Over Spilt Milk,True
It Is The First Step That Costs,True
It Never Rains But It Pours,True
It's As Broad As It's Long,True
It's No Use Pumping A Dry Well,True
It's One Thing To Flourish And Another To Fight,True
It Takes All Sorts To Make A World,True
Jackdaw In Peacock's Feathers,True
Jest With An Ass And He Will Flap You In The Face With His Tail,True
Judge Not Of Men And Things At First Sight,True
"Just As The Twig Is Bent, The Tree Is Inclined",True
Keep A Thing Seven Years And You Will Find A Use For It,True
Keep Your Mouth Shut And Your Ears Open,True
Keep Your Mouth Shut And Your Eyes Open,True
"Last, But Not Least",True
"Laws Catch Flies, But Let Hornets Go Free",True
Learn To Creep Before You Leap,True
Learn To Say Before You Sing,True
Learn Wisdom By The Follies Of Others,True
"Least Said, Soonest Mended",True
Leaves Without Figs,True
Let Bygones Be Bygones,True
Let Every Man Praise The Bridge He Goes Over,True
Let Sleeping Dogs Lie,True
Let Well (Enough) Alone,True
Liars Need Good Memories,True
Lies Have Short Legs,True
Life Is But A Span,True
Life Is Not A Bed Of Roses,True
Life Is Not All Cakes And Ale (Beer And Skittles),True
Like A Cat On Hot Bricks,True
Like A Needle In A Haystack,True
Like Begets Like,True
Like Cures Like,True
"Like Father, Like Son",True
Like Draws To Like,True
"Like Master, Like Man",True
"Like Mother, Like Daughter",True
"Like Parents, Like Children",True
"Like Priest, Like People",True
"Like Teacher, Like Pupil",True
Little Chips Light Great Fires,True
Little Knowledge Is A Dangerous Thing,True
Little Pigeons Can Carry Great Messages,True
Little Pitchers Have Long Ears,True
Little Strokes Fell Great Oaks,True
"Little Thieves Are Hanged, But Great Ones Escape",True
Little Things Amuse Little Minds,True
Live And Learn,True
Live And Let Live,True
"Live Not To Eat, But Eat To Live",True
"Long Absent, Soon Forgotten",True
Look Before You Leap,True
"Look Before You Leap, But Having Leapt Never Look Back",True
Lookers-On See More Than Players,True
"Lord (God, Heaven) Helps Those (Them) Who Help Themselves",True
Lost Time Is Never Found Again,True
Love Cannot Be Forced,True
Love In A Cottage,True
"Love Me, Love My Dog",True
Love Will Creep Where It May Not Go,True
Make Haste Slowly,True
Make Hay While The Sun Shines,True
Make Or Mar,True
Man Proposes But God Disposes,True
Many A Fine Dish Has Nothing On It,True
Many A Good Cow Has A Bad Calf,True
Many A Good Father Has But A Bad Son,True
Many A Little Makes A Mickle,True
Many A True Word Is Spoken In Jest,True
Many Hands Make Light Work,True
"Many Men, Many Minds",True
Many Words Hurt More Than Swords,True
Many Words Will Not Fill A Bushel,True
Marriages Are Made In Heaven,True
Measure For Measure,True
Measure Thrice And Cut Once,True
Men May Meet But Mountains Never,True
Mend Or End (End Or Mend),True
Might Goes Before Right,True
Misfortunes Never Come Alone (Singly),True
Misfortunes Tell Us What Fortune Is,True
Money Begets Money,True
Money Has No Smell,True
Money Is A Good Servant But A Bad Master,True
Money Often Unmakes The Men Who Make It,True
Money Spent On The Brain Is Never Spent In Vain,True
"More Haste, Less Speed",True
Much Ado About Nothing,True
Much Will Have More,True
Muck And Money Go Together,True
Murder Will Out,True
My House Is My Castle,True
Name Not A Rope In His House That Was Hanged,True
Necessity Is The Mother Of Invention,True
Necessity Knows No Law,True
Neck Or Nothing,True
Need Makes The Old Wife Trot,True
Needs Must When The Devil Drives,True
Neither Fish Nor Flesh,True
Neither Here Nor There,True
Neither Rhyme Nor Reason,True
Never Cackle Till Your Egg Is Laid,True
Never Cast Dirt Into That Fountain Of Which You Have Sometime Drunk,True
Never Do Things By Halves,True
Never Fry A Fish Till It's Caught,True
Never Offer To Teach Fish To Swim,True
Never Put Off Till Tomorrow What You Can Do Today,True
Never Quit Certainty For Hope,True
Never Too Much Of A Good Thing,True
Never Try To Prove What Nobody Doubts,True
Never Write What You Dare Not Sign,True
New Brooms Sweep Clean,True
"New Lords, New Laws",True
Nightingales Will Not Sing In A Cage,True
No Flying From Fate,True
No Garden Without Its Weeds,True
No Great Loss Without Some Small Gain,True
No Herb Will Cure Love,True
No Joy Without Alloy,True
No Living Man All Things Can,True
"No Longer Pipe, No Longer Dance",True
No Man Is Wise At All Times,True
"No Man Loves His Fetters, Be They Made Of Gold",True
No News (Is) Good News,True
"No Pains, No Gains",True
"No Song, No Supper",True
No Sweet Without (Some) Sweat,True
No Wisdom Like Silence,True
None But The Brave Deserve The Fair,True
None So Blind As Those Who Won't See,True
None So Deaf As Those That Won't Hear,True
Nothing Comes Out Of The Sack But What Was In It,True
Nothing Is Impossible To A Willing Heart,True
Nothing Must Be Done Hastily But Killing Of Fleas,True
"Nothing So Bad, As Not To Be Good For Something",True
Nothing Succeeds Like Success,True
"Nothing Venture, Nothing Have",True
Oaks May Fall When Reeds Stand The Storm,True
Of Two Evils Choose The Least,True
Old Birds Are Not Caught With Chaff,True
Old Friends And Old Wine Are Best,True
On Shank's Mare,True
"Once Bitten, Twice Shy",True
Once Is No Rule (Custom),True
"One Beats The Bush, And Another Catches The Bird",True
One Chick Keeps A Hen Busy,True
One Drop Of Poison Infects The Whole Tun Of Wine,True
One Fire Drives Out Another,True
One Good Turn Deserves Another,True
"One Law For The Rich, And Another For The Poor",True
One Lie Makes Many,True
"One Link Broken, The Whole Chain Is Broken",True
"One Man, No Man",True
One Man's Meat Is Another Man's Poison,True
One Scabby Sheep Will Mar A Whole Flock,True
One Swallow Does Not Make A Summer,True
One Today Is Worth Two Tomorrow,True
Open Not Your Door When The Devil Knocks,True
Opinions Differ,True
Opportunity Makes The Thief,True
"Out Of Sight, Out Of Mind",True
Out Of The Frying-Pan Into The Fire,True
Packed Like Herrings,True
Patience Is A Plaster For All Sores,True
Penny-Wise And Pound-Foolish,True
Pleasure Has A Sting In Its Tail,True
Plenty Is No Plague,True
"Politeness Costs Little (Nothing), But Yields Much",True
Poverty Is No Sin,True
"Poverty Is Not A Shame, But The Being Ashamed Of It Is",True
Practise What You Preach,True
Praise Is Not Pudding,True
Pride Goes Before A Fall,True
Procrastination Is The Thief Of Time,True
Promise Is Debt,True
"Promise Little, But Do Much",True
"Prosperity Makes Friends, And Adversity Tries Them",True
Put Not Your Hand Between The Bark And The Tree,True
"Rain At Seven, Fine At Eleven",True
Rats Desert A Sinking Ship,True
"Repentance Is Good, But Innocence Is Better",True
"Respect Yourself, Or No One Else Will Respect You",True
Roll My Log And I Will Roll Yours,True
Rome Was Not Built In A Day,True
Salt Water And Absence Wash Away Love,True
Saying And Doing Are Two Things,True
Score Twice Before You Cut Once,True
Scornful Dogs Will Eat Dirty Puddings,True
Scratch My Back And I'll Scratch Yours,True
Self Done Is Soon Done,True
Self Done Is Well Done,True
Self Is A Bad Counsellor,True
Self-Praise Is No Recommendation,True
Set A Beggar On Horseback And He'll Ride To The Devil,True
Set A Thief To Catch A Thief,True
Shallow Streams Make Most Din,True
Short Debts (Accounts) Make Long Friends,True
Silence Gives Consent,True
Since Adam Was A Boy,True
Sink Or Swim! ,True
Six Of One And Half A Dozen Of The Other,True
Slow And Steady Wins The Race,True
Slow But Sure,True
Small Rain Lays Great Dust,True
"So Many Countries, So Many Customs",True
